t,Value,Expiry
43357,76.14,43553
43360,76.31,43553
43361,77.14,43553
43362,77.47,43553
43363,76.91,43553
43364,76.97,43553
43367,78.99,43553
43368,79.61,43553
43369,79.2,43553
43370,79.79,43553
43371,80.94,43553
43374,83.13,43553
43375,83.07,43553
43376,84.48,43553
43377,83,43553
43378,82.85,43553
43381,82.61,43553
43382,83.47,43553
43383,81.74,43553
43384,79.09,43553
43385,79.31,43553
43388,79.87,43553
43389,80.5,43553
43390,79.11,43553
43391,78.17,43553
43392,78.67,43553
43395,78.99,43553
43396,75.95,43553
43397,76.14,43553
43398,76.64,43553
43399,77.28,43553
43402,77.12,43553
43403,75.79,43553
43404,75.05,43553
43405,73.04,43553
43406,72.89,43553
43409,73.12,43553
43410,72.36,43553
43411,72.48,43553
43412,71.49,43553
43413,70.99,43553
